field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement2,was_renovated,Hub distance_HubDist
"3206","1125069064",2015/03/31,700000,"4",2.5,"2770","89298",2,false,NONE,Average,8 Good,"2770","0.0","2004",2004,"98053",47.6624,-122.01,"2650","89298","0",false,0.00546574676346336
"3207","117000100",2015/03/19,680000,"3",1.75,"1660","5750",1,false,NONE,Good,7 Average,"1080","580.0","1909",1909,"98116",47.5843,-122.385,"2060","5560","580",false,0.404857216571305
"3208","9212900820",2014/08/28,393820,"2",2,"1170","8251",1,false,NONE,Average,7 Average,"1170","0.0","1941",1941,"98115",47.6873,-122.291,"1360","6798","0",false,1.01860535286828
"3209","3959400855",2014/08/20,525000,"4",2.75,"2470","7200",1,false,NONE,Very Good,7 Average,"1350","1120.0","1940",1940,"98108",47.5631,-122.317,"1500","6000","1120",false,0.431017845413689
"3210","2028700265",2015/01/15,505000,"2",1.75,"1310","3816",1,false,NONE,Fair,7 Average,"1110","200.0","1929",1929,"98117",47.679,-122.368,"1510","3816","200",false,1.28675512004055
"3211","3041700090",2014/11/11,555565,"3",2,"1670","11337",1,false,FAIR,Good,7 Average,"1670","0.0","1959",1959,"98033",47.6602,-122.188,"2210","11337","0",false,0.691563084060418
"3212","868001295",2014/10/29,650000,"3",1.75,"1660","10819",1,false,NONE,Good,7 Average,"1240","420.0","1942",1942,"98177",47.7045,-122.379,"3110","11853","420",false,0.232250392551225
"3213","7853270740",2014/09/17,632500,"5",3.25,"3500","7254",2,false,NONE,Average,8 Good,"2760","740.0","2005",2005,"98065",47.5444,-121.881,"2820","6317","740",false,0.711436184427267
"3214","5416500090",2014/07/24,269000,"3",2.5,"1440","3800",2,false,NONE,Average,7 Average,"1440","0.0","2005",2005,"98038",47.3606,-122.039,"1890","3819","0",false,0.164825484252172
"3215","3574801110",2014/11/25,405000,"4",2.75,"2360","7716",1,false,NONE,Average,7 Average,"1390","970.0","1978",1978,"98034",47.7301,-122.223,"2160","8794","970",false,0.260859133445103
"3216","624110930",2014/07/24,845000,"3",3.5,"3460","15745",2,false,NONE,Average,10 Very Good,"3460","0.0","1986",1986,"98077",47.7262,-122.06,"3350","14825","0",false,0.276176019059922
"3217","5335700110",2014/07/25,234000,"3",1,"1750","8820",1,false,NONE,Good,7 Average,"1750","0.0","1961",1961,"98032",47.3608,-122.29,"1400","9600","0",false,0.370941129038557
"3218","1176000964",2015/04/22,638000,"4",1.75,"1470","4236",1.5,false,NONE,Good,7 Average,"1470","0.0","1946",1946,"98107",47.6692,-122.399,"1480","5400","0",false,0.181107938134056
"3219","7334602070",2014/08/04,290000,"3",1.75,"1710","10950",1,false,NONE,Average,7 Average,"1060","650.0","1967",1967,"98045",47.4678,-121.745,"1180","10950","650",false,0.272088461022844
"3220","2420069251",2015/02/25,262000,"1",0.75,"520","12981",1,false,NONE,Very Good,3 Poor,"520","0.0","1920",1920,"98022",47.2082,-121.995,"1340","12233","0",false,0.615568558948254
"3221","7885800740",2015/02/18,270000,"4",2.5,"2350","5835",2,false,NONE,Average,8 Good,"2350","0.0","2003",2003,"98042",47.3494,-122.153,"3010","5772","0",false,0.28502989937868
"3222","8082400076",2014/11/18,875000,"4",2.25,"2380","4876",2,false,NONE,Good,9 Better,"2240","140.0","1948",1948,"98117",47.6822,-122.4,"1780","4559","140",false,0.185066837530106
"3223","1310980110",2014/07/17,299000,"3",2.25,"1920","7840",2,false,NONE,Good,8 Good,"1920","0.0","1982",1982,"98032",47.3631,-122.276,"2170","7210","0",false,0.307839468982872
"3224","2354300740",2015/03/03,551000,"3",1,"1580","6000",1,false,NONE,Very Good,7 Average,"1580","0.0","1947",1947,"98027",47.5286,-122.032,"1580","6000","0",false,0.32389949688128
"3225","3023049236",2014/09/16,350000,"3",2.75,"3070","5280",2,false,FAIR,Average,7 Average,"2360","710.0","1950",1986,"98166",47.4486,-122.353,"2570","18983","710",true,0.362306961182357
"3226","9808700405",2014/06/04,1900000,"3",2.5,"2660","13367",2,false,AVERAGE,Average,10 Very Good,"2660","0.0","1992",1992,"98004",47.6501,-122.217,"2660","13367","0",false,0.122351780004615
"3227","2877102345",2014/10/27,511718,"2",1.75,"1700","5000",1,false,NONE,Average,6 Low Average,"850","850.0","1915",1915,"98117",47.6787,-122.363,"1690","5000","850",false,0.802504932921512
"3228","1924069058",2014/10/10,965000,"4",3.25,"5010","49222",2,false,NONE,Very Good,9 Better,"3710","1300.0","1978",1978,"98027",47.5489,-122.092,"3140","54014","1300",false,0.882734259756413
"3229","9269260100",2014/12/16,475000,"4",2.25,"2680","4673",2,false,NONE,Average,7 Average,"2680","0.0","1999",1999,"98011",47.7539,-122.219,"2460","4645","0",false,1.16535352746725
"3230","2877104265",2015/04/15,1060000,"4",2.75,"2720","4000",1.5,false,AVERAGE,Very Good,8 Good,"1840","880.0","1928",1928,"98117",47.6797,-122.359,"1600","4000","880",false,0.647218335840803
"3231","3123039089",2014/07/15,252000,"2",1,"940","15450",1,false,NONE,Good,6 Low Average,"940","0.0","1926",1926,"98070",47.4408,-122.461,"1370","34820","0",false,0.0610129949877653
"3232","8576400110",2015/03/17,580000,"6",2.5,"3596","13700",1,false,NONE,Very Good,8 Good,"1798","1798.0","1964",1964,"98166",47.4388,-122.339,"1894","10500","1798",false,0.780195558850475
"3233","7660600131",2014/10/20,374950,"2",2.25,"1240","1172",2,false,NONE,Average,8 Good,"1000","240.0","2008",2008,"98144",47.5877,-122.316,"1260","1111","240",false,0.804889829856549
"3234","2296500131",2014/12/16,739000,"5",4,"4660","9900",2,false,AVERAGE,Good,9 Better,"2600","2060.0","1979",1979,"98056",47.5135,-122.2,"3380","9900","2060",false,0.237833883982483
"3235","1761300850",2014/12/17,271000,"4",1.75,"1710","7200",1,false,NONE,Very Good,7 Average,"910","800.0","1975",1975,"98031",47.3967,-122.174,"1730","7200","800",false,0.0838232383284829
"3236","6083000037",2014/06/13,230000,"2",1,"930","7550",1,false,NONE,Average,6 Low Average,"930","0.0","1986",1986,"98168",47.4866,-122.303,"1370","10176","0",false,0.721193595392225
"3237","5259800090",2015/04/27,210000,"3",2.25,"1430","9150",1,false,NONE,Average,7 Average,"1070","360.0","1984",1984,"98023",47.3239,-122.35,"1430","6364","360",false,0.314386762142113
"3238","2968801366",2015/02/24,350000,"3",2.75,"1650","5700",2,false,NONE,Good,7 Average,"1650","0.0","1988",1988,"98166",47.4563,-122.348,"1320","7620","0",false,0.492596881306284
"3239","2126059172",2015/05/06,491500,"3",2.25,"1560","12000",1,false,NONE,Good,7 Average,"1110","450.0","1968",1968,"98034",47.7256,-122.166,"2190","4612","450",false,0.492967409908693
"3240","7334501250",2014/09/09,325000,"3",2.5,"1870","9825",1,false,NONE,Good,7 Average,"1250","620.0","1994",1994,"98045",47.4639,-121.744,"1380","11475","620",false,0.240943728669628
"3241","1545805490",2014/10/06,190000,"3",2,"1320","7625",1,false,NONE,Average,7 Average,"1320","0.0","1987",1987,"98038",47.3635,-122.045,"1420","7500","0",false,0.19549931338712
"3242","7518500855",2015/05/04,658600,"4",2,"1400","4690",1.5,false,NONE,Good,7 Average,"1400","0.0","1945",1945,"98117",47.6826,-122.378,"1400","4690","0",false,1.16709411404762
"3243","4171200025",2015/03/27,299950,"3",1.5,"1940","8951",1,false,NONE,Average,7 Average,"1300","640.0","1958",1958,"98168",47.473,-122.328,"2000","8319","640",false,0.455866940671863
"3244","9818700215",2015/03/30,464000,"5",2,"2000","3000",1.5,false,NONE,Average,6 Low Average,"1200","800.0","1931",1931,"98122",47.6028,-122.298,"1330","4000","800",false,0.618285738877433
"3245","798000535",2014/06/25,308000,"3",1,"1640","18144",1.5,false,NONE,Average,6 Low Average,"1640","0.0","1942",1942,"98168",47.5027,-122.33,"1500","9065","0",false,0.626218703582014
"3246","3900100265",2015/01/29,625000,"3",1,"1020","7650",1,false,NONE,Average,6 Low Average,"1020","0.0","1919",1919,"98033",47.6795,-122.202,"1870","5500","0",false,0.426499380646207
"3247","1951100110",2015/02/05,240000,"3",1.75,"1630","9450",1,false,NONE,Good,7 Average,"1080","550.0","1977",1977,"98032",47.3729,-122.295,"1280","9100","550",false,0.573177943239565
"3248","7215420590",2015/05/04,530000,"4",2.5,"2940","35996",2,false,NONE,Average,9 Better,"2940","0.0","1995",1995,"98042",47.3401,-122.067,"2890","35089","0",false,0.344209137350263
"3249","3343301910",2014/10/20,1000000,"5",4.5,"2120","8944",2,true,EXCELLENT,Very Good,8 Good,"2120","0.0","1939",1963,"98006",47.5488,-122.197,"2870","8944","0",true,0.00221645646474136
"3250","9828702095",2014/09/25,439000,"1",1,"790","2400",1,false,NONE,Average,7 Average,"790","0.0","1918",1918,"98122",47.6178,-122.299,"1580","2566","0",false,0.840231827805099
"3251","2917200645",2015/05/11,575000,"4",1.75,"2020","6200",1,false,NONE,Good,6 Low Average,"1010","1010.0","1948",1948,"98133",47.7013,-122.35,"1440","4158","1010",false,0.980753730292265
"3252","6163900501",2014/10/21,418000,"3",1.75,"1530","7238",1,false,NONE,Average,7 Average,"1530","0.0","1959",1959,"98155",47.7629,-122.315,"1580","7238","0",false,0.664553732207286
"3253","540100057",2015/04/28,1210000,"4",3.75,"3250","10949",2,false,NONE,Good,9 Better,"2940","310.0","1930",1930,"98004",47.639,-122.219,"2340","15234","310",false,0.210243200442777
"3254","2652500300",2014/06/03,1100000,"4",3.75,"2930","3200",1.5,false,NONE,Very Good,9 Better,"2130","800.0","1925",1925,"98119",47.643,-122.359,"1900","4320","800",false,0.488874531424375
"3255","1330300300",2015/04/15,1900000,"3",3.75,"3150","8550",2,false,NONE,Average,10 Very Good,"3150","0.0","2007",2007,"98112",47.6387,-122.284,"2510","8550","0",false,0.276297477861922
"3256","1137301780",2014/11/26,580000,"3",2.5,"2180","40278",2,false,NONE,Average,9 Better,"2180","0.0","1985",1985,"98072",47.733,-122.09,"2630","40000","0",false,0.0893000539667279
"3257","9842300485",2015/03/11,380000,"2",1,"1040","7372",1,false,NONE,Very Good,7 Average,"840","200.0","1939",1939,"98126",47.5285,-122.378,"1930","5150","200",false,0.781075805344795
"3258","7224000315",2014/07/23,256000,"3",1,"880","5375",1,false,NONE,Good,5 Fair,"880","0.0","1924",1924,"98055",47.4858,-122.202,"980","4838","0",false,0.805570998875758
"3259","6161000015",2014/05/15,349950,"3",1,"1400","7066",1,false,NONE,Average,8 Good,"1400","0.0","1957",1957,"98125",47.7127,-122.325,"1400","7320","0",false,0.556355561198118
"3260","5207200195",2014/07/01,691500,"4",2.5,"2600","7200",2,false,NONE,Average,7 Average,"2600","0.0","1962",2002,"98115",47.6944,-122.274,"1790","6175","0",true,0.0993284572290081
"3261","9191201790",2014/10/31,556000,"3",1.75,"1590","2500",1.5,false,NONE,Good,7 Average,"1190","400.0","1908",1908,"98105",47.6668,-122.299,"1420","3800","400",false,0.89031576033663
"3262","8731902680",2014/11/20,218000,"3",2.25,"1610","7084",1,false,NONE,Good,8 Good,"1280","330.0","1968",1968,"98023",47.3146,-122.384,"2170","8505","330",false,0.110594553462363
"3263","9448300115",2014/12/05,425000,"4",2,"1390","4500",1.5,false,NONE,Very Good,7 Average,"1390","0.0","1908",1908,"98108",47.5552,-122.311,"1900","5460","0",false,0.898085198431572
"3264","4045500625",2014/08/22,935000,"3",3.25,"3710","38509",2,false,NONE,Average,10 Very Good,"3710","0.0","1998",1998,"98014",47.693,-121.868,"1680","25865","0",false,0.0308034358348939
"3265","5603700025",2014/10/07,732000,"4",1.75,"2360","11300",1,false,NONE,Good,9 Better,"2360","0.0","1974",1974,"98006",47.5728,-122.163,"2290","11951","0",false,0.142997593819529
"3266","1266200015",2015/01/27,805500,"3",1,"1440","10330",1,false,NONE,Good,7 Average,"1440","0.0","1952",1952,"98004",47.6245,-122.193,"2080","10327","0",false,0.560094325524881
"3267","952003350",2015/02/04,507250,"3",1.75,"1400","5750",1,false,AVERAGE,Average,6 Low Average,"1100","300.0","1915",1915,"98126",47.5659,-122.38,"1500","5175","300",false,0.547937613130883
"3268","2386000300",2014/12/02,800000,"4",2.5,"4600","67369",2,false,NONE,Average,10 Very Good,"4600","0.0","1990",1990,"98053",47.6417,-121.992,"4600","67369","0",false,0.604197069341043
"3269","3625059143",2014/09/03,600000,"3",2.25,"2100","8276",2,false,FAIR,Good,8 Good,"2100","0.0","1979",1979,"98008",47.6068,-122.112,"2420","18135","0",false,0.0506588054235676
"3270","8651500850",2015/03/17,627800,"4",1.75,"2010","12044",1,false,NONE,Average,9 Better,"2010","0.0","1982",1982,"98074",47.6446,-122.068,"2200","11144","0",false,0.63983476866143
"3271","3359500110",2014/06/24,660000,"2",2.25,"2550","6000",2,false,NONE,Very Good,7 Average,"1860","690.0","1902",1902,"98115",47.6739,-122.323,"2010","4000","690",false,0.48103488794379
"3272","818500490",2014/10/09,153503,"2",2.5,"1240","3649",2,false,NONE,Average,7 Average,"1240","0.0","1986",1986,"98003",47.3241,-122.322,"1400","3721","0",false,0.0957807173460661
"3273","3876311390",2015/01/20,456500,"3",2.25,"2090","9163",1,false,NONE,Average,7 Average,"1460","630.0","1975",1975,"98034",47.7334,-122.167,"1960","7713","630",false,0.216650990481861
"3274","8085400490",2014/08/01,1310000,"5",2.5,"2770","8100",2,false,NONE,Average,9 Better,"2770","0.0","2002",2002,"98004",47.6341,-122.208,"2070","8100","0",false,0.401403072788274
"3275","2355010090",2014/12/07,843500,"3",2.5,"3560","11448",2,false,NONE,Average,11 Excellent,"3560","0.0","1997",1997,"98052",47.7126,-122.104,"3290","11506","0",false,0.0290156131978046
"3276","9550200265",2014/08/18,625000,"3",1,"1240","4080",1,false,NONE,Average,7 Average,"1240","0.0","1925",1925,"98103",47.667,-122.333,"2060","4080","0",false,0.481059360856159
"3277","8818400490",2014/06/11,527000,"2",1.75,"1640","4080",1,false,NONE,Average,7 Average,"840","800.0","1921",1921,"98105",47.6645,-122.326,"1980","4080","800",false,0.766020881975954
"3278","8964800025",2015/02/26,1970000,"5",3.75,"3940","13738",1.5,false,GOOD,Good,9 Better,"3940","0.0","1951",1951,"98004",47.6203,-122.212,"2370","13320","0",false,0.544360323223934
"3279","2125059112",2015/03/26,1000000,"5",2.5,"3150","50094",2,false,NONE,Good,9 Better,"3150","0.0","1969",1969,"98005",47.6387,-122.177,"3600","48787","0",false,0.589054885293402
"3280","2028700535",2015/02/25,855000,"4",3,"2550","5300",2,false,NONE,Average,8 Good,"1720","830.0","1908",2013,"98117",47.6786,-122.367,"1590","4505","830",true,1.26758568348586
"3281","4309710100",2014/06/20,725000,"4",3.25,"3940","27591",2,false,GOOD,Average,9 Better,"3440","500.0","2000",2000,"98059",47.5157,-122.116,"3420","29170","500",false,0.522384683755977
"3282","4364700805",2014/10/15,315000,"1",1,"580","7200",1,false,NONE,Average,6 Low Average,"580","0.0","2000",2000,"98126",47.5249,-122.373,"1360","7560","0",false,0.825322856130772
"3283","3356407665",2014/09/24,180000,"3",1.75,"1330","16000",1,false,NONE,Average,7 Average,"1330","0.0","1978",1978,"98001",47.28,-122.257,"1330","14374","0",false,0.409600422463853
"3284","9238900855",2015/03/13,700000,"2",1,"930","5000",1,false,GOOD,Average,7 Average,"930","0.0","1926",2013,"98136",47.5333,-122.388,"1760","5228","0",true,0.395739813423224
"3285","1086100100",2014/08/11,476500,"3",1,"1060","8625",2,false,NONE,Good,7 Average,"1060","0.0","1962",1997,"98033",47.6615,-122.179,"2010","8901","0",true,0.652757989801909
"3286","6121000110",2014/06/03,193000,"3",1.5,"1180","9048",1,false,NONE,Average,7 Average,"1180","0.0","1960",1960,"98148",47.4327,-122.328,"1460","8942","0",false,0.608380045420389
"3287","8700100100",2014/08/19,295000,"4",2.5,"1850","6663",2,false,NONE,Average,7 Average,"1850","0.0","1990",1990,"98030",47.3618,-122.195,"1850","6417","0",false,0.00290853350571149
"3288","9417400215",2014/07/31,363000,"2",1,"820","4880",1,false,NONE,Good,6 Low Average,"820","0.0","1925",1925,"98136",47.5483,-122.394,"1320","4880","0",false,0.210229775652339
"3289","7701961030",2015/01/29,875000,"4",2.5,"3600","21794",2,false,NONE,Good,11 Excellent,"3600","0.0","1990",1990,"98077",47.7121,-122.072,"3410","19864","0",false,0.315299398148217
"3290","2149800148",2014/05/14,257200,"3",2,"1850","8250",1,false,NONE,Good,7 Average,"1150","700.0","1952",1952,"98002",47.3066,-122.209,"1580","7153","700",false,0.286382568008214
"3291","686450490",2014/09/29,555000,"3",2,"2240","11250",1,false,NONE,Average,8 Good,"2240","0.0","1968",1968,"98008",47.6371,-122.119,"2200","12500","0",false,0.946307883540801
"3292","9413400165",2014/06/24,380000,"3",2.25,"1860","15559",2,false,NONE,Good,7 Average,"1860","0.0","1963",1963,"98022",47.1559,-121.646,"1110","11586","0",false,0.897466664410471
"3293","104550690",2014/07/25,282000,"4",2.75,"2390","7330",2,false,NONE,Average,7 Average,"2390","0.0","1989",1989,"98023",47.3061,-122.359,"1980","6735","0",false,0.149187124750021
"3294","1995200245",2014/06/06,545000,"4",2.5,"2040","6034",2,false,NONE,Average,7 Average,"2040","0.0","1990",1990,"98115",47.6952,-122.323,"1380","5986","0",false,0.392183825701059
"3295","7409700215",2014/06/06,550000,"3",1.5,"1900","5000",1.5,false,NONE,Average,7 Average,"1640","260.0","1926",1926,"98115",47.6779,-122.294,"2090","5000","260",false,0.874527117034483
"3296","7409700215",2015/03/13,921500,"3",1.5,"1900","5000",1.5,false,NONE,Average,7 Average,"1640","260.0","1926",1926,"98115",47.6779,-122.294,"2090","5000","260",false,0.874527117034483
"3297","1337800855",2015/05/12,885000,"3",1.5,"2200","2880",2,false,NONE,Very Good,7 Average,"1440","760.0","1904",1904,"98112",47.6308,-122.312,"2440","4640","760",false,0.186439251708404
"3298","7015200615",2014/05/29,820000,"4",2.25,"2280","6660",1.5,false,AVERAGE,Average,8 Good,"1960","320.0","1940",1940,"98119",47.6503,-122.368,"1720","5336","320",false,0.233145032418498
"3299","8805400090",2014/05/13,289000,"3",1,"1090","7315",1,false,NONE,Very Good,6 Low Average,"1090","0.0","1981",1981,"98056",47.494,-122.165,"1090","5800","0",false,0.740645616049164
"3300","2391602350",2015/02/13,334000,"1",1,"670","5750",1,false,NONE,Average,7 Average,"670","0.0","1942",2011,"98116",47.5624,-122.394,"1170","5750","0",true,0.519314875602585
"3301","844001140",2014/10/28,206000,"3",1,"1050","5233",1,false,NONE,Very Good,5 Fair,"1050","0.0","1906",1906,"98010",47.3106,-121.999,"970","7500","0",false,0.544804828268538
"3302","5210200131",2014/06/30,491950,"3",2.25,"2090","10733",1,false,NONE,Average,7 Average,"1440","650.0","1958",1958,"98115",47.6971,-122.281,"1740","8100","650",false,0.389592280118773
"3303","6893300110",2014/11/13,430000,"3",2.5,"2030","7770",2,false,NONE,Average,8 Good,"2030","0.0","2003",2003,"98024",47.5253,-121.93,"1360","10782","0",false,0.236221156697814
"3304","1796351080",2014/07/18,208000,"3",2,"1250","7995",1,false,NONE,Good,7 Average,"1250","0.0","1980",1980,"98042",47.3684,-122.092,"1540","7650","0",false,0.415315444126474
"3305","1938400300",2014/07/08,245000,"4",2.25,"2600","6390",1,false,NONE,Average,8 Good,"1390","1210.0","1978",1978,"98023",47.3174,-122.366,"2110","6700","1210",false,0.31595200605761
"3306","2877101340",2015/03/18,426000,"2",1,"640","2500",1,false,NONE,Good,6 Low Average,"640","0.0","1918",1918,"98117",47.6776,-122.361,"1460","4200","0",false,0.695762686426825
"3307","6084200100",2014/08/01,400000,"3",2.5,"2120","3742",2,false,NONE,Average,7 Average,"2120","0.0","2006",2006,"98059",47.4787,-122.129,"2250","4696","0",false,0.614979316485497
"3308","7977201910",2015/04/14,553000,"3",1,"1330","5100",1,false,NONE,Average,7 Average,"900","430.0","1942",1942,"98115",47.6837,-122.291,"1500","5100","430",false,0.993509686557123
"3309","6638900115",2015/03/31,296000,"2",1,"750","4680",1,false,NONE,Average,5 Fair,"750","0.0","1948",1948,"98117",47.6919,-122.371,"1450","4400","0",false,1.17766466772292
"3310","2587920110",2015/02/17,428000,"3",2.5,"2230","32660",1,false,NONE,Good,8 Good,"2230","0.0","1977",1977,"98042",47.3321,-122.105,"2400","33120","0",false,0.392528066798197
"3311","3438500714",2014/05/06,325000,"4",2.5,"1890","6156",1,false,NONE,Average,7 Average,"980","910.0","1980",1980,"98106",47.551,-122.356,"1590","6954","910",false,0.51011950799324
"3312","726049184",2014/07/21,294000,"2",1,"820","6366",1,false,NONE,Very Good,6 Low Average,"820","0.0","1952",1952,"98133",47.7512,-122.34,"1580","10169","0",false,0.334133420715422
"3313","2787720300",2015/03/19,410000,"3",1.75,"1880","8424",1,false,NONE,Good,7 Average,"1380","500.0","1977",1977,"98059",47.5116,-122.161,"1970","8523","500",false,0.37850521955438
"3314","2821049048",2014/06/03,590000,"4",4.25,"2360","57514",2,false,NONE,Good,8 Good,"2360","0.0","1939",1939,"98003",47.2843,-122.294,"2037","35733","0",false,0.00620768848781295
"3315","3904901450",2014/11/20,445000,"3",2.25,"1850","4050",2,false,NONE,Good,7 Average,"1850","0.0","1985",1985,"98029",47.5669,-122.017,"1650","4468","0",false,0.208141739678985
"3316","9829200495",2015/03/25,921000,"4",2.5,"2310","5362",2,false,EXCELLENT,Good,8 Good,"2010","300.0","1928",1928,"98122",47.6044,-122.284,"2530","5960","300",false,0.037763010617197
"3317","1523089097",2015/03/04,496000,"3",1.5,"2520","37616",1,false,NONE,Average,8 Good,"2520","0.0","1955",1955,"98045",47.4777,-121.763,"1470","33750","0",false,0.526551813105507
"3318","2724200705",2014/12/12,95000,"2",1,"800","8550",1,false,NONE,Average,7 Average,"800","0.0","1947",1947,"98198",47.4075,-122.294,"1490","8550","0",false,0.575027008055689
"3319","8122600245",2014/09/25,359000,"4",1.75,"1580","6396",1,false,NONE,Good,6 Low Average,"790","790.0","1945",1945,"98126",47.5378,-122.369,"1180","6396","790",false,0.337853635788522
"3320","1323089184",2014/05/02,452500,"3",2.5,"2430","88426",1,false,NONE,Good,7 Average,"1570","860.0","1985",1985,"98045",47.4828,-121.718,"1560","56827","860",false,0.18642124484494
"3321","2600300110",2014/12/02,555000,"4",1.75,"2350","6200",1.5,false,NONE,Good,7 Average,"1410","940.0","1946",1946,"98116",47.559,-122.397,"1800","6150","940",false,0.261665286841695
"3322","9485951030",2014/09/24,549900,"5",3,"3800","42316",1.5,false,NONE,Good,9 Better,"3800","0.0","1984",1984,"98042",47.3488,-122.095,"2580","35775","0",false,0.318007528820779
"3323","4021700025",2014/06/10,569000,"5",3,"3670","10583",1,false,NONE,Very Good,8 Good,"2060","1610.0","1952",1952,"98155",47.7589,-122.277,"2720","13865","1610",false,0.383872641393806
"3324","2473250850",2014/07/16,318500,"4",2,"1780","7350",1,false,NONE,Very Good,7 Average,"900","880.0","1974",1974,"98058",47.4562,-122.158,"1480","7350","880",false,0.383476181411535
"3325","9828702310",2014/06/11,487028,"2",1.5,"1295","1093",2,false,NONE,Average,9 Better,"1105","190.0","2007",2007,"98112",47.6192,-122.299,"1295","1413","190",false,0.811721797965518
"3326","7523700245",2014/10/15,240000,"3",1,"1350","7560",1,false,NONE,Good,7 Average,"950","400.0","1959",1959,"98032",47.3784,-122.303,"1470","7560","400",false,0.324638142340314
"3327","1765100025",2015/02/02,253000,"3",2.25,"1440","9806",1,false,NONE,Average,7 Average,"1440",?,"1965",1965,"98030",47.3857,-122.212,"1590","9782","0",false,0.492407347713413
"3328","2011400405",2014/08/31,380000,"5",1.75,"1320","38125",1,false,NONE,Good,7 Average,"1120","200.0","1947",1947,"98198",47.3937,-122.323,"2360","15070","200",false,0.128172012521229
"3329","3410600015",2015/04/06,250000,"2",0.75,"700","16828",1,false,NONE,Good,6 Low Average,"700","0.0","1958",1958,"98092",47.3009,-122.125,"2010","29316","0",false,0.0390736736987367
"3330","3276050110",2014/10/10,368500,"2",1.75,"2510","19141",2,false,NONE,Average,9 Better,"2510","0.0","1977",1977,"98092",47.3103,-122.199,"2400","13030","0",false,0.573506453115544
"3331","7792000025",2015/02/11,340000,"3",1,"3180","27586",1,false,NONE,Average,8 Good,"1400","1780.0","1969",1969,"98022",47.1986,-121.967,"2180","27586","1780",false,0.467831139328768
"3332","2810600015",2015/04/27,400000,"2",1,"910","4000",1,false,NONE,Average,7 Average,"910","0.0","1918",1918,"98136",47.5427,-122.388,"1060","1346","0",false,0.427917348268647
"3333","8081900011",2014/09/16,835000,"3",2,"1570","4625",1.5,false,NONE,Very Good,8 Good,"1570","0.0","1927",1927,"98117",47.68,-122.399,"1760","4625","0",false,0.296649704928719
"3334","104550740",2014/12/01,299000,"3",2.5,"2450","7062",2,false,NONE,Average,8 Good,"2450","0.0","1993",1993,"98023",47.3061,-122.36,"1960","7200","0",false,0.197972669897173
"3335","1959701745",2014/11/07,1680000,"6",2.25,"4910","6600",2.5,false,NONE,Very Good,10 Very Good,"3580","1330.0","1910",1910,"98102",47.6458,-122.32,"3280","5500","1330",false,0.213403102588953
"3336","8078520090",2014/05/14,265000,"3",2,"1570","5706",1,false,NONE,Average,7 Average,"1570","0.0","1998",1998,"98092",47.3156,-122.188,"1570","5706","0",false,1.01214595371686
"3337","6403510090",2014/11/11,437500,"4",2.5,"2680","7513",2,false,NONE,Average,8 Good,"2680","0.0","1998",1998,"98059",47.4956,-122.161,"2640","7243","0",false,0.76434641357914
"3338","2326300090",2014/06/04,865000,"3",1.75,"2090","4725",2,false,NONE,Average,7 Average,"1610","480.0","1947",2013,"98199",47.657,-122.394,"1280","4725","480",true,0.386285373054838
"3339","8078380090",2015/03/11,626000,"3",2,"2150","7200",1,false,NONE,Average,8 Good,"2150","0.0","1988",1988,"98029",47.5709,-122.018,"2510","7222","0",false,0.164723547865672
"3340","7132300042",2014/10/28,247300,"2",2,"1140","1118",2,false,NONE,Average,7 Average,"1040","100.0","2009",2009,"98144",47.596,-122.311,"1140","1118","100",false,0.729078561887192
"3341","3861470110",2014/06/23,2080000,"4",3.5,"4230","20377",2,false,NONE,Average,11 Excellent,"4230","0.0","1997",1997,"98004",47.5954,-122.206,"3980","20489","0",false,0.205111520989192
"3342","2734101055",2014/10/01,425000,"3",1,"1790","6000",1.5,false,NONE,Fair,8 Good,"1790","0.0","1937",1937,"98108",47.5448,-122.32,"1060","4000","0",false,0.527277569321647
"3343","4039701080",2014/06/25,905000,"5",3.5,"3100","10200",1,false,EXCELLENT,Average,9 Better,"1660","1440.0","1970",1970,"98008",47.6134,-122.112,"2700","10455","1440",false,0.167671508842382
"3344","464000600",2014/08/27,641250,"3",2.5,"2220","2550",3,false,AVERAGE,Average,10 Very Good,"2220","0.0","1990",1990,"98117",47.6963,-122.393,"2200","5610","0",false,0.314221661087001
"3345","5437400100",2015/03/31,675000,"4",2.5,"2370","9679",2,false,NONE,Average,8 Good,"2370","0.0","1984",1984,"98027",47.5631,-122.085,"2290","7944","0",false,0.227345554462584
"3346","1423089055",2014/06/13,845000,"4",2.75,"4070","115434",2,false,NONE,Average,9 Better,"4070","0.0","2002",2002,"98045",47.4843,-121.752,"2970","95832","0",false,0.666913222293886
"3347","6713700100",2014/09/07,401500,"4",1,"1790","8400",1,false,NONE,Good,7 Average,"1260","530.0","1954",1954,"98133",47.7627,-122.353,"1470","8400","530",false,0.646901454597543
"3348","339600110",2014/09/23,395000,"3",2.5,"1610","3755",2,false,NONE,Average,7 Average,"1610","0.0","1987",1987,"98052",47.6825,-122.097,"1300","3823","0",false,0.607174283422527
